"_type","author","keywords","text"
"dict","Albert Einstein","attributed-no-source,simplicity,understand","“If you can't explain it to a six year old, you don't understand it yourself.”"
"dict","Robert A. Heinlein","cats,humor,women","“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”"
"dict","Robert A. Heinlein","essential,happiness,love","“Love is that condition in which the happiness of another person is essential to your own.”"
"dict","George R.R. Martin","read,readers,reading,reading-books","“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”"
"dict","Dr. Seuss","attributed-no-source,life","“Sometimes the questions are complicated and the answers are simple.”"
"dict","William Nicholson","misattributed-to-c-s-lewis,reading","“We read to know we're not alone.”"
"dict","J.K. Rowling","courage,friends","“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”"
"dict","Jorge Luis Borges","books,library","“I have always imagined that Paradise will be a kind of library.”"
"dict","Suzanne Collins","katniss,love,peeta,suzanne-collins,the-hunger-games","“You love me. Real or not real?"""
"dict","Anaïs Nin","","“We don't see things as they are, we see them as we are.”"
"dict","Bob Marley","love","“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
"dict","Jim Henson","humor","“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”"
"dict","Charles M. Schulz","chocolate,food,humor","“All you need is love. But a little chocolate now and then doesn't hurt.”"
"dict","Dr. Seuss","comedy,life,yourself","“Today you are You, that is truer than true. There is no one alive who is Youer than You.”"
"dict","Pablo Picasso","art,imagination,inspirational,life","“Everything you can imagine is real.”"
"dict","Unknown","misattributed-to-mother-teresa","“Life is an opportunity, benefit from it."
"dict","Maya Angelou","1970,inspirational,stories,writing","“There is no greater agony than bearing an untold story inside you.”"
"dict","Paul   Terry","exercise,humor,laziness,misattributed-to-hutchins","“Whenever I feel the need to exercise, I lie down until it goes away.”"
"dict","Lemony Snicket","books,reading","“Never trust anyone who has not brought a book with them.”"
"dict","John Green","books,power-of-words,reading","“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”"
"dict","Nicholas Sparks","love","“I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”"
"dict","Woody Allen","death,fear,humor,life","“I'm not afraid of death; I just don't want to be there when it happens.”"
"dict","Joan Powers","friendship,misattributed-a-a-milne","“If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”"
"dict","Bob Marley","music","“One good thing about music, when it hits you, you feel no pain.”"
"dict","Albert Einstein","attributed-no-source,children,fairy-tales","“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”"
"dict","Albert Einstein","attributed-no-source,imagination","“Logic will get you from A to Z; imagination will get you everywhere.”"
"dict","Mother Teresa","misattributed-to-mother-teresa","“Not all of us can do great things. But we can do small things with great love.”"
"dict","Walter M. Miller Jr.","body-soul,misattributed-to-c-s-lewis","“You don’t"
"dict","Cassandra Clare","city-of-bones,jace","“Have you fallen in love with the wrong person yet?'"
"dict","Dr. Seuss","learning,reading,seuss","“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”"
"dict","John Green","doomed,inevitable,love,oblivion,pleasure,simple","“I'm in love with you,"" he said quietly."
"dict","John Green","humor,nerdfighters","“Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”"
"dict","Abraham Lincoln","attributed-no-source,happiness","“Folks are usually about as happy as they make their minds up to be.”"
"dict","Bob Marley","friendship","“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”"
